Distance (nm),Fe %,Ni %,Mn %,Cu %,V %,Mo %,C %,Cr %,C2 %,C3 %,NiH %,P %,Si %,MoC %,H %,Sample Count
-4.900000572,472754,87210,39253,13019,4518,4318,7550,253,0,0,0,84,356,0,98,629413
-4.700000763,474905,88010,39247,13018,4361,4374,7655,250,0,0,0,70,348,0,81,632319
-4.500000954,473984,88240,39001,13091,4434,4495,7810,227,0,0,0,77,366,0,81,631806
-4.300001144,470719,87449,38884,12778,4492,4400,7479,234,0,0,0,79,368,0,77,626959
-4.100001335,463673,85999,38709,12575,4375,4311,7285,214,0,0,0,63,372,0,103,617679
-3.900001287,454689,84590,37585,12557,4165,4252,7400,242,0,0,0,59,361,0,95,605995
-3.70000124,443343,82676,36602,12227,4102,4162,7017,259,0,0,0,57,289,0,79,590813
-3.500001192,430211,79782,35906,11904,4100,3880,6786,241,0,0,0,71,308,0,71,573260
-3.300001144,415890,77289,34523,11251,3923,3844,6979,215,0,0,0,55,338,0,71,554378
-3.100001097,399185,74145,32898,11063,3839,3593,6777,241,0,0,0,53,295,0,88,532177
-2.900001049,381199,70977,31432,10449,3778,3422,6271,238,0,0,0,52,314,0,60,508192
-2.700001001,361836,67276,30115,9903,3570,3339,6057,205,0,0,0,68,269,0,62,482700
-2.500000954,343444,64067,28445,9597,3565,3096,5857,176,0,0,0,46,266,0,56,458615
-2.300000906,320620,60143,26783,8827,3457,2870,5475,187,0,0,0,39,240,0,59,428700
-2.100000858,297950,55405,24803,8495,3451,2844,5319,168,0,0,0,34,211,0,48,398728
-1.900000811,274389,51419,22483,7651,3471,2559,4933,169,0,0,0,45,217,0,58,367394
-1.700000763,250616,46459,20246,7030,3475,2384,4917,155,0,0,0,36,208,0,38,335564
-1.500000715,224312,42572,18233,6425,3476,2208,4598,163,0,0,0,42,211,0,40,302280
-1.300000668,200013,37943,16434,5683,3586,1922,4356,155,0,0,0,37,190,0,42,270361
-1.10000062,175942,32990,14200,5017,3809,1694,4104,141,0,0,0,28,137,0,37,238099
-0.900000572,151691,28240,12181,4205,3712,1539,3822,147,0,0,0,30,130,0,22,205719
-0.700000525,126238,23717,10324,3537,4009,1334,3730,141,0,0,0,26,148,0,13,173217
-0.500000477,102521,18852,8256,2769,4158,1102,3613,132,0,0,0,24,113,0,14,141554
-0.300000459,79079,14183,6349,2250,4341,969,3617,129,0,0,0,26,85,0,12,111040
-0.100000441,58269,10264,4818,1646,4574,833,3645,129,0,0,0,30,68,0,10,84286
0.099999577,39955,6767,3410,1136,4466,658,3456,122,0,0,0,24,57,0,4,60055
0.299999595,25086,4061,2109,685,3979,489,3028,114,0,0,0,22,48,0,2,39623
0.499999613,14902,2361,1260,469,3241,422,2469,91,0,0,0,13,38,0,3,25269
0.69999963,8226,1307,691,242,2472,287,2007,54,0,0,0,14,21,0,2,15323
0.899999619,4418,747,393,160,1802,195,1443,51,0,0,0,11,19,0,0,9239
1.099999666,2306,364,189,94,1214,129,1064,27,0,0,0,9,14,0,0,5410
1.299999714,1117,187,90,58,758,88,671,19,0,0,0,2,11,0,0,3001
1.499999762,557,92,43,24,452,74,442,6,0,0,0,1,3,0,0,1694
1.699999809,218,49,17,8,300,40,250,7,0,0,0,2,5,0,0,896
1.899999857,78,15,6,5,177,17,145,2,0,0,0,1,0,0,0,446
2.099999905,41,11,1,3,102,12,106,5,0,0,0,1,0,0,0,282
2.299999952,18,5,3,2,40,5,40,2,0,0,0,0,0,0,0,115
2.5,10,3,2,2,15,3,19,0,0,0,0,0,1,0,0,55
2.700000048,3,0,1,0,3,0,1,0,0,0,0,0,0,0,0,8
