,Distance (nm),Fe %,Fe % Err,Ni %,Ni % Err,Mn %,Mn % Err,Cu %,Cu % Err,V %,V % Err,Mo %,Mo % Err,C %,C % Err,Cr %,Cr % Err,P %,P % Err,Error Sum
0,-4.9,75.16451787795387,0.05445965444524276,13.865768674905677,0.043560415349015134,6.2409473431495535,0.030490462361572823,2.069928246515273,0.017946006781913378,0.7183298116411403,0.0106445824012993,0.6865312365352909,0.010407978157977582,1.200396210245819,0.013726886886266035,0.04022519750889963,0.0025275157630858204,0.013355401544456792,0.00145657086212043,99.99999999999999
1,-4.7,75.1562772001456,0.054340402552356025,13.928057098545633,0.043541958204319796,6.2110493915080145,0.030352202698738763,2.060168700248461,0.017863351841759467,0.6901517669214579,0.0104111893545954,0.6922090870246403,0.010426587515599002,1.2114450299893968,0.01375742192523813,0.039563848138125315,0.002500893618819549,0.011077877478675086,0.0013235370596692707,100.0
2,-4.5,75.07361105171545,0.05442287289575195,13.976200545173187,0.0436226454202262,6.177309581395054,0.0302873831576798,2.0734637504177496,0.01792695578422295,0.7022945740854252,0.010505999844731865,0.7119562721050939,0.0105775056058746,1.2370141235018428,0.013905690589385974,0.03595418771253756,0.0023850900477320673,0.012195913893680141,0.0013892769079130052,100.0
3,-4.3,75.1330377294043,0.05458926806809757,13.958028072796454,0.04376708684280058,6.206405603067131,0.030471027304262124,2.0395394197096954,0.017851383931030203,0.7169831799449015,0.010655464727780386,0.7022987515043558,0.010546563575890231,1.1937482642047903,0.01371604869331307,0.037349524511822565,0.00244029229963053,0.012609454856555482,0.001418081535588427,100.0
4,-4.1,75.12475615841764,0.055003939136313025,13.933642685400612,0.04406234712815362,6.2716703067381285,0.0308493224984128,2.0374138858464947,0.017975804388330255,0.7088418091911264,0.010674524363917935,0.6984724661538162,0.01059671348173633,1.1803228754188242,0.013741707787145513,0.034672490781005955,0.0023688403883480387,0.010207322052352221,0.0012854415227154033,100.0
5,-3.9,75.0883097537896,0.055558849179549855,13.969372740649238,0.04453284869052346,6.206866940031937,0.030994684419819965,2.073689721058429,0.018305730430022565,0.6878169696749508,0.010617033483261228,0.7021843349478729,0.010726570596002766,1.222051758846251,0.014113680450076554,0.039964395356863885,0.002567528682923853,0.009743385644855244,0.0012679416476913208,100.0
6,-3.7,75.08624850748164,0.056269718941392856,14.002320283853702,0.04514590352469133,6.199053256442173,0.03137193259415083,2.0708109984841943,0.018526837360643884,0.6947302458315339,0.010806106159061052,0.7048920729280458,0.010884292843278997,1.1884256789370728,0.014098240070236787,0.04386522029994326,0.002724205484914113,0.009653735741686357,0.0012782085492398097,100.0
7,-3.5,75.09604961588882,0.05711719186484545,13.926452439511873,0.04572769200693297,6.267619278698367,0.03201255282606752,2.0779184507777355,0.018839906730066868,0.7156809180266059,0.011133308159810139,0.677278527303227,0.010832585839317755,1.1845391974947677,0.014289312978822775,0.042068073474246834,0.002708377039253294,0.012393498824363176,0.0014702603030978733,100.0
8,-3.3,75.07459803707428,0.058098457147007364,13.951863732447126,0.04653544308747906,6.231937166159117,0.03246654025888741,2.0309800728921656,0.018944982969085155,0.7081623700965217,0.011262121371561202,0.6939016443158372,0.011148948882354744,1.2598177876379364,0.014979517906266896,0.038810835985407126,0.0026453869822028048,0.009928353391615777,0.0013381785360871772,100.0
9,-3.1,75.06384050967105,0.05930647659243523,13.94242883522567,0.04748273322366433,6.186230006355845,0.03302313314286424,2.0803168144055784,0.019564632249284123,0.7218960725393668,0.0116047563377995,0.6756375589043878,0.011229404720676435,1.2743656378221642,0.015375666208235633,0.045318299943211085,0.0029174963710838905,0.00996626513273937,0.0013684109011184169,100.0
10,-2.9,75.06606697675151,0.06068806817449683,13.976857850647278,0.0486405540314724,6.189619115509888,0.03380208582771947,2.0576269450866254,0.01991382647169977,0.7439673268769521,0.012054285560543334,0.6738634707710243,0.011476350848312883,1.2348912405625638,0.015491811934478529,0.046867184700030325,0.0030361185585337275,0.010239889094124271,0.0014194218217459065,100.0
11,-2.7,75.0122831276471,0.062314746252077315,13.946999081615939,0.04986372821712396,6.243145807462751,0.034822873331927025,2.0529926259772084,0.020410358404895582,0.740097311394389,0.012336520546504812,0.6922086618335755,0.011933601377247105,1.255677707315354,0.01602715766889509,0.04249858510808116,0.0029665814871764197,0.014097091645607409,0.0017088167742951386,100.00000000000001
12,-2.5,74.93983106877042,0.06399178496858002,13.979484740111674,0.051206191306646325,6.20672801024672,0.035628133651449685,2.0940751877074275,0.02114348124929411,0.7778866358421359,0.012972935656628444,0.6755503575223709,0.01209575050346228,1.2780033733877671,0.016586274081176806,0.03840337949739577,0.0028931915399799317,0.010037246914092076,0.0014793174480282464,100.0
13,-2.3,74.84109514216821,0.06627339083640474,14.038949488913426,0.05305684497798703,6.251852820138142,0.03697506767285916,2.0604527066930283,0.021696197706004318,0.8069542321329783,0.013664329402444978,0.6699330767201757,0.01245888946200226,1.2780082212693251,0.01715524941496395,0.0436506917584226,0.003190244852393125,0.009103620206302041,0.0014571711178633462,100.00000000000003
14,-2.1,74.77369632267505,0.06878011023262451,13.904469356461856,0.05479351307739952,6.22457455912505,0.03826141181389012,2.131909885085163,0.022875290135298456,0.8660648632641436,0.014673983131070599,0.7137318084970223,0.013331338401069771,1.3348591734865196,0.018174447953508414,0.04216137265383254,0.003251078321526811,0.008532658751370872,0.00146280114693039,100.00000000000001
15,-1.9,74.74116022325185,0.07168372860359246,14.006085220323653,0.05725668666340387,6.12417227111645,0.03955802124021039,2.0840653847934867,0.02356765256805815,0.9454699974667614,0.015965959272010603,0.6970491856863851,0.013726087380609733,1.343705991790128,0.018995402298661628,0.04603411972684607,0.003538945763709381,0.01225760584442647,0.0018264600510621827,99.99999999999999
16,-1.7,74.7397992353527,0.07500784377245363,13.855206102863553,0.05963940912820791,6.037850637305483,0.04111780974186552,2.0965173357827496,0.024732078603547654,1.0363296930078314,0.017482324873483068,0.7109669030591856,0.01450399533345292,1.4663692375595705,0.020750388499997673,0.046224777673730615,0.0037106443854404082,0.010736077395189043,0.001788594212507482,100.0
17,-1.5,74.26836495833182,0.07951167751980048,14.09533521615474,0.06329091456295893,6.036837522224688,0.0433190425797046,2.1272791685566617,0.026244503901377395,1.150882862241705,0.01939979997802568,0.7310556271086551,0.01549448718708938,1.5223703684083316,0.022270206682269148,0.05396832754470597,0.004224229943100806,0.013905949428697243,0.0021446943988775156,100.00000000000001
18,-1.3,74.04351254400675,0.08431298110820974,14.046251975907804,0.0668252534928615,6.083759981342246,0.04597104354404816,2.103809661309967,0.02760031865958995,1.3275138915110931,0.022011292774937154,0.7115119072739321,0.016164732158137417,1.6125628866208368,0.024224573075791855,0.0573799925220913,0.004605572112833526,0.013697159505273405,0.002250678641054059,99.99999999999997
19,-1.1,73.94851318692865,0.08995021272529023,13.865713985499632,0.07082398547349816,5.968267311127456,0.04854925465823143,2.108647683093412,0.029443903782896446,1.6009246611327097,0.02572184816738965,0.7119890721866134,0.017230833404956045,1.7249133130188086,0.02668250313644341,0.059262372596406425,0.004987489643464938,0.01176841441630766,0.002223077661407353,99.99999999999999
20,-0.9,73.79151322926344,0.09695874357061175,13.737613527463068,0.07589779858610396,5.925561982224774,0.05205511217207296,2.0455617876410126,0.03120909375921267,1.8057373021934453,0.029358451104269774,0.7486610204945346,0.01900525039839155,1.8592478364718068,0.02978215579739167,0.07150953217199259,0.005893719052148854,0.014593782075916854,0.0026632689988523024,100.0
21,-0.7,72.94632951183432,0.10673812357132413,13.704812315088756,0.08262939609064576,5.96569896449704,0.056908686437348664,2.043847078402367,0.03399732940600405,2.316591161242604,0.03614430218529823,0.7708487426035503,0.021014011528879217,2.155371671597633,0.03489267962498107,0.08147651627218935,0.006855576371325803,0.015024038461538462,0.0029448654737670448,99.99999999999999
22,-0.5,72.49040140850047,0.11869196120906639,13.329845079086738,0.0903412851669511,5.837640620249316,0.0623155267602683,1.957900542329258,0.03682481227701715,2.9400326670296337,0.0448988353022888,0.7792005769761078,0.02337033407525579,2.554674849922575,0.04193602357583682,0.09333437038189313,0.008116278864342621,0.016969885523980568,0.0034621153262219587,99.99999999999997
23,-0.3,71.27894504385135,0.13578165539375828,12.784042255933224,0.10020568225969567,5.7227585336614295,0.06970539901959906,2.0280684675914658,0.042301173442174204,3.912820096806468,0.05818860388301179,0.8734214867093912,0.02792333375944061,3.2602327321237032,0.05329507702831028,0.11627592547524405,0.010227100860410015,0.02343545784772361,0.00459352515828024,100.00000000000001
24,-0.1,69.19651339540187,0.15902460387706466,12.18886566596998,0.1126882714283043,5.721546646399393,0.0799991226707386,1.9546836405092152,0.04768413878104271,5.431787953638611,0.07806678080053243,0.9892171765152956,0.03408861446034202,4.32856735702071,0.07009475252750012,0.1531920957628729,0.013471239254332548,0.03562606878206346,0.00650023195465863,100.00000000000001
25,0.1,66.5983264993166,0.1924603120982251,11.279461279461279,0.12908675343517872,5.683901723505684,0.09448037483876968,1.8935226856018936,0.05561725003415838,7.444077741107444,0.10711072789046278,1.0967763443010972,0.042500072939094406,5.7605760576057605,0.09507682779994012,0.20335366870020333,0.01838270398414826,0.040004000400040006,0.008160001542658456,100.0
26,0.3,63.39170646653021,0.2420094288666377,10.262047355520178,0.15245139702149035,5.3293912516109465,0.11284250277727842,1.7309781922017538,0.0655209879863017,10.05483536754858,0.1510785177791502,1.2356910014403761,0.05549850438453723,7.651681702170673,0.13354242743200045,0.2880752027897809,0.02692482013666311,0.05559346018750157,0.011841791835172802,100.0
27,0.5,59.06928809259553,0.3093224845395934,9.358649120025367,0.18322120682834458,4.994450610432851,0.13703273334659308,1.8590455049944503,0.0849720549421354,12.846836847946728,0.21049687545386606,1.6727445695259235,0.08067848700718726,9.786744886633898,0.18692194132517617,0.3607103218645949,0.03771382388694344,0.05153004598065642,0.014276584243738458,100.0
28,0.7,53.764705882352935,0.4027759667423036,8.542483660130719,0.2258030892304515,4.516339869281046,0.16775904170008227,1.5816993464052287,0.10079244904706561,16.15686274509804,0.29733112715316895,1.8758169934640525,0.10960020312983193,13.117647058823529,0.2727230574273144,0.35294117647058826,0.04790838224851474,0.0915032679738562,0.024425733471311488,100.0
29,0.9,47.917570498915396,0.5197332826279468,8.101952277657269,0.283880459486574,4.262472885032538,0.21016453627935366,1.735357917570499,0.1358565824787724,19.544468546637745,0.412550771115572,2.1149674620390453,0.14969162617205867,15.650759219088936,0.3780034907323534,0.5531453362255965,0.07716185679547291,0.1193058568329718,0.03591361928576229,100.0
30,1.1,42.735359525574495,0.672571279097733,6.745737583395108,0.34099690286359774,3.5025945144551516,0.24995056188173526,1.7420311341734618,0.1778743044873043,22.498146775389177,0.5677155423341488,2.390659747961453,0.20768538731588998,19.718309859154925,0.5409342302390687,0.5003706449221645,0.095930787694624,0.16679021497405486,0.05547843084163079,100.0
31,1.3,37.35785953177258,0.8830621883637054,6.254180602006688,0.44200600142715046,3.0100334448160537,0.3119004976068953,1.939799331103679,0.25176293550992307,25.351170568561873,0.7941042345780758,2.94314381270903,0.30852179829448717,22.441471571906355,0.76156582739522,0.6354515050167224,0.14505207315824745,0.06688963210702341,0.04719555617250596,100.0
32,1.5,32.9390892962744,1.1419150958642388,5.4405677114133635,0.5510840417627018,2.54287403903016,0.3824833380052246,1.4192785334121822,0.2873909646797947,26.729745712596102,1.075237890100003,4.376108811354229,0.49701621675811486,26.13837965700769,1.067559386105154,0.3548196333530456,0.14446919977300696,0.05913660555884093,0.05906674539793944,100.00000000000003
33,1.7,24.4668911335578,1.4361641120403033,5.4994388327721655,0.7615920060684603,1.9079685746352413,0.4570339563494089,0.8978675645342313,0.3151328204425358,33.670033670033675,1.5787837909452722,4.489337822671157,0.6917721389058324,28.058361391694728,1.500953750054254,0.7856341189674524,0.2949466335806487,0.22446689113355786,0.15810083711538506,100.00000000000001
34,1.9,17.488789237668158,1.7987421955425402,3.363228699551569,0.8536541904294878,1.345291479820628,0.545506180406647,1.1210762331838564,0.4985422952713095,39.68609865470852,2.3166503183256197,3.8116591928251116,0.906673283372163,32.511210762331835,2.2180174615277943,0.4484304932735426,0.31637648366648163,0.2242152466367713,0.22396374319627266,100.00000000000001
35,2.1,14.53900709219858,2.0990693496705735,3.9007092198581566,1.1529416425352792,0.3546099290780142,0.35398062968401517,1.0638297872340423,0.6109266444665359,36.17021276595745,2.8612952635691236,4.25531914893617,1.2019844316298554,37.5886524822695,2.8842679496976222,1.773049645390071,0.7858709300979465,0.3546099290780142,0.35398062968401517,100.0
36,2.3,15.65217391304348,3.3882493146553596,4.3478260869565215,1.901667499426736,2.608695652173913,1.4863561285813975,1.7391304347826086,1.21901053535082,34.78260869565217,4.441338421349993,4.3478260869565215,1.901667499426736,34.78260869565217,4.441338421349993,1.7391304347826086,1.21901053535082,0.0,0.0,100.0
37,2.5,18.51851851851852,5.237828008789241,5.5555555555555545,3.0886636063476067,3.7037037037037033,2.5464875961197353,3.7037037037037033,2.5464875961197353,27.777777777777782,6.039525627828989,5.5555555555555545,3.0886636063476067,35.185185185185176,6.439256396937804,0.0,0.0,0.0,0.0,99.99999999999999
38,2.7,37.5,17.116329922036442,0.0,0.0,12.5,11.692679333668567,0.0,0.0,37.5,17.116329922036442,0.0,0.0,12.5,11.692679333668567,0.0,0.0,0.0,0.0,100.0
