,Distance (nm),Fe %,Ni %,Mn %,Cu %,V %,Mo %,C %,Cr %,P %
0,-4.9,75.16451787795388,13.865768674905677,6.2409473431495535,2.0699282465152735,0.7183298116411403,0.6865312365352909,1.200396210245819,0.04022519750889963,0.013355401544456793
1,-4.7,75.1562772001456,13.928057098545633,6.211049391508015,2.060168700248461,0.6901517669214579,0.6922090870246403,1.211445029989397,0.03956384813812531,0.011077877478675086
2,-4.5,75.07361105171543,13.976200545173189,6.177309581395054,2.0734637504177496,0.7022945740854252,0.7119562721050939,1.2370141235018428,0.03595418771253756,0.012195913893680141
3,-4.3,75.1330377294043,13.958028072796457,6.206405603067131,2.0395394197096954,0.7169831799449015,0.7022987515043558,1.1937482642047903,0.037349524511822565,0.012609454856555482
4,-4.1,75.12475615841764,13.933642685400613,6.271670306738129,2.0374138858464947,0.7088418091911264,0.6984724661538162,1.1803228754188242,0.034672490781005955,0.010207322052352221
5,-3.9,75.08830975378959,13.969372740649238,6.206866940031938,2.073689721058429,0.6878169696749508,0.7021843349478729,1.222051758846251,0.039964395356863885,0.009743385644855244
6,-3.7,75.08624850748164,14.002320283853702,6.199053256442174,2.0708109984841943,0.6947302458315339,0.7048920729280458,1.1884256789370728,0.04386522029994326,0.009653735741686355
7,-3.5,75.09604961588882,13.926452439511872,6.267619278698368,2.077918450777736,0.7156809180266059,0.677278527303227,1.1845391974947677,0.042068073474246834,0.012393498824363176
8,-3.3,75.07459803707428,13.951863732447123,6.231937166159117,2.0309800728921656,0.7081623700965217,0.6939016443158372,1.2598177876379364,0.038810835985407126,0.009928353391615777
9,-3.1,75.06384050967104,13.94242883522567,6.186230006355845,2.0803168144055784,0.7218960725393668,0.6756375589043878,1.2743656378221642,0.04531829994321109,0.00996626513273937
10,-2.9,75.06606697675151,13.976857850647278,6.189619115509887,2.0576269450866254,0.743967326876952,0.6738634707710243,1.2348912405625638,0.046867184700030325,0.010239889094124273
11,-2.7,75.0122831276471,13.94699908161594,6.243145807462751,2.0529926259772084,0.740097311394389,0.6922086618335755,1.255677707315354,0.04249858510808116,0.014097091645607409
12,-2.5,74.93983106877042,13.979484740111674,6.20672801024672,2.0940751877074275,0.7778866358421359,0.675550357522371,1.2780033733877671,0.03840337949739577,0.010037246914092076
13,-2.3,74.8410951421682,14.038949488913424,6.251852820138142,2.0604527066930283,0.8069542321329783,0.6699330767201757,1.278008221269325,0.0436506917584226,0.00910362020630204
14,-2.1,74.77369632267504,13.904469356461856,6.224574559125051,2.131909885085163,0.8660648632641436,0.7137318084970223,1.3348591734865196,0.04216137265383254,0.008532658751370872
15,-1.9,74.74116022325185,14.006085220323655,6.12417227111645,2.0840653847934867,0.9454699974667614,0.6970491856863851,1.343705991790128,0.04603411972684607,0.012257605844426468
16,-1.7,74.7397992353527,13.855206102863551,6.037850637305483,2.0965173357827496,1.0363296930078314,0.7109669030591856,1.4663692375595703,0.04622477767373061,0.010736077395189043
17,-1.5,74.26836495833182,14.095335216154739,6.036837522224687,2.1272791685566617,1.1508828622417053,0.7310556271086551,1.5223703684083316,0.05396832754470597,0.013905949428697243
18,-1.3,74.04351254400675,14.046251975907806,6.083759981342247,2.103809661309967,1.327513891511093,0.7115119072739321,1.6125628866208368,0.0573799925220913,0.013697159505273405
19,-1.1,73.94851318692865,13.865713985499632,5.968267311127456,2.1086476830934116,1.6009246611327097,0.7119890721866134,1.7249133130188086,0.059262372596406425,0.01176841441630766
20,-0.9,73.79151322926344,13.737613527463067,5.925561982224774,2.0455617876410126,1.8057373021934455,0.7486610204945346,1.859247836471807,0.07150953217199259,0.014593782075916854
21,-0.7,72.94632951183432,13.704812315088757,5.965698964497041,2.043847078402367,2.3165911612426036,0.7708487426035503,2.155371671597633,0.08147651627218935,0.015024038461538462
22,-0.5,72.49040140850049,13.329845079086738,5.837640620249316,1.9579005423292581,2.9400326670296337,0.7792005769761078,2.554674849922575,0.09333437038189313,0.01696988552398057
23,-0.3,71.27894504385135,12.784042255933226,5.7227585336614295,2.0280684675914658,3.9128200968064677,0.8734214867093912,3.2602327321237032,0.11627592547524404,0.023435457847723606
24,-0.1,69.19651339540187,12.18886566596998,5.721546646399392,1.9546836405092152,5.43178795363861,0.9892171765152955,4.32856735702071,0.1531920957628729,0.03562606878206346
25,0.1,66.5983264993166,11.27946127946128,5.683901723505684,1.8935226856018936,7.444077741107444,1.096776344301097,5.7605760576057605,0.20335366870020335,0.040004000400040006
26,0.3,63.39170646653021,10.262047355520178,5.3293912516109465,1.7309781922017538,10.05483536754858,1.235691001440376,7.651681702170672,0.2880752027897809,0.055593460187501574
27,0.5,59.06928809259553,9.358649120025369,4.994450610432852,1.8590455049944505,12.846836847946728,1.6727445695259235,9.786744886633898,0.3607103218645949,0.051530045980656414
28,0.7,53.764705882352935,8.542483660130719,4.516339869281046,1.5816993464052287,16.15686274509804,1.8758169934640523,13.117647058823529,0.35294117647058826,0.0915032679738562
29,0.9,47.9175704989154,8.101952277657267,4.262472885032538,1.735357917570499,19.544468546637745,2.1149674620390453,15.650759219088936,0.5531453362255965,0.1193058568329718
30,1.1,42.7353595255745,6.745737583395107,3.502594514455152,1.7420311341734618,22.498146775389177,2.390659747961453,19.718309859154928,0.5003706449221645,0.16679021497405486
31,1.3,37.357859531772576,6.254180602006689,3.0100334448160537,1.939799331103679,25.35117056856187,2.94314381270903,22.441471571906355,0.6354515050167224,0.06688963210702341
32,1.5,32.939089296274396,5.440567711413364,2.54287403903016,1.4192785334121822,26.7297457125961,4.376108811354229,26.138379657007686,0.35481963335304556,0.05913660555884093
33,1.7,24.4668911335578,5.499438832772166,1.9079685746352413,0.8978675645342313,33.670033670033675,4.489337822671156,28.058361391694724,0.7856341189674524,0.22446689113355783
34,1.9,17.48878923766816,3.3632286995515694,1.345291479820628,1.1210762331838564,39.686098654708516,3.811659192825112,32.511210762331835,0.4484304932735426,0.2242152466367713
35,2.1,14.539007092198581,3.900709219858156,0.3546099290780142,1.0638297872340425,36.17021276595745,4.25531914893617,37.5886524822695,1.773049645390071,0.3546099290780142
36,2.3,15.65217391304348,4.3478260869565215,2.608695652173913,1.7391304347826086,34.78260869565217,4.3478260869565215,34.78260869565217,1.7391304347826086,0.0
37,2.5,18.51851851851852,5.555555555555555,3.7037037037037033,3.7037037037037033,27.77777777777778,5.555555555555555,35.18518518518518,0.0,0.0
38,2.7,37.5,0.0,12.5,0.0,37.5,0.0,12.5,0.0,0.0
